arch,n_qubits,reps,maxiter,seed,train_loss_final,MAE,RMSE,R2
linear,3,2,400,42,0.05835321567242724,0.21726248475086393,0.31117910499643964,0.7375607968040193
rationallog,3,2,400,42,0.09739594086515682,0.29819058229402334,0.36361741253579405,0.6416584235313947
rational,3,2,400,42,0.12524942476113982,0.31184432811162466,0.3775664280986753,0.6136378282868018
