arch,n_outputs,reps,norm,shots,seed,padding_value,transpile,optimization_level,seed_transpiler,epochs,batch_size,lr,seed_split,seed_train,fold,wall_time_s,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2,train_mse_final,test_mse_final
linear,2,2,True,200,3,7.853981633974483,False,1,,25,16,0.01,3,3,,313.00533763098065,0.30131332143951506,0.3391023454540548,0.6857257476445413,0.27243481581640305,0.32387494289776475,0.7133170178685921,0.15637177228927612,0.1048949807882309
linear,2,2,True,200,2,7.853981633974483,False,1,,25,16,0.01,2,2,,303.34238875002484,0.30028452799713795,0.33582975197636783,0.792386672232704,0.28278402519833257,0.34270992746020734,0.7837927453002709,0.18995758704841137,0.11745009571313858
linear,2,2,True,200,1,7.853981633974483,False,1,,25,16,0.01,1,1,,371.7403163970157,0.2802562026035257,0.31863630152080613,0.8520384754217554,0.2842422710087763,0.3479099715898689,0.8236026544780364,0.11842372827231884,0.12104134261608124
linear,2,2,True,200,0,7.853981633974483,False,1,,25,16,0.01,0,0,,330.1379143119848,0.36966946318354355,0.6467001200639423,0.1716891161305536,0.40633583822292824,0.6853368012139459,0.0697587553370087,0.09603029978461564,0.46968650817871094
linear,2,2,True,200,4,7.853981633974483,False,1,,25,16,0.01,4,4,,345.4155235920043,0.46760004398647326,0.672526648810606,0.29895974699365,0.4896901037306688,0.768523716297854,0.08454182348030415,0.10826091468334198,0.5906287431716919
