arch,n_outputs,reps,norm,shots,seed,padding_value,epochs,batch_size,lr,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2,train_mse_final,test_mse_final
linear,2,2,True,1000,42,7.853981633974483,50,16,0.01,0.31101404002745286,0.38114817361972797,0.6062726879811802,0.24961473484061095,0.3423239981391237,0.6823984981704527,0.1008507264778018,0.11718571931123734
rationalLog,2,2,True,1000,42,7.853981633974483,50,16,0.01,0.31101404002745286,0.38114817361972797,0.6062726879811802,0.32578439746870913,0.42346340166127105,0.5139962508777849,0.10367727838456631,0.1793212592601776
rational,2,2,True,1000,42,7.853981633974483,50,16,0.01,0.31101404002745286,0.38114817361972797,0.6062726879811802,0.4561175892202652,0.6326828719785335,-0.08487577228629584,0.4520317614078522,0.4002876579761505
