arch,n_outputs,reps,norm,shots,seed,padding_value,transpile,optimization_level,seed_transpiler,epochs,batch_size,lr,seed_split,seed_train,fold,wall_time_s,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2,train_mse_final,test_mse_final
linear,2,2,True,200,42,7.853981633974483,False,1,,25,16,0.01,42,44,2,942.2266329140111,0.22158588482244707,0.2518965269836853,0.8998451197628929,0.2302610971292108,0.2656775835820277,0.8885865605216585,0.14433872886002064,0.07058457285165787
linear,2,2,True,200,42,7.853981633974483,False,1,,25,16,0.01,42,46,4,512.8783934920211,0.2783037243928285,0.34040046712462013,0.7401240023460136,0.24090527247976817,0.30897992399216334,0.7858853423476322,0.11527254898101091,0.09546856582164764
linear,2,2,True,200,42,7.853981633974483,False,1,,25,16,0.01,42,43,1,907.3866289659927,0.31101404002745264,0.3811481736197279,0.6062726879811803,0.2602775497428832,0.3543530283970724,0.6596857355125212,0.1729324571788311,0.1255660504102707
linear,2,2,True,200,42,7.853981633974483,False,1,,25,16,0.01,42,45,3,707.6324764270103,0.3662021022395661,0.4143832820326481,0.7544706380545454,0.29512674846811787,0.3783976097545432,0.7952632747953532,0.13631812948733568,0.14318475127220154
linear,2,2,True,200,42,7.853981633974483,False,1,,25,16,0.01,42,47,5,742.385524405021,0.5008660926431252,0.6829684133934942,0.388327072248007,0.5039615986498471,0.7591649988141936,0.2442287344376911,0.12387192994356155,0.5763314962387085
