arch,n_outputs,reps,norm,shots,seed,padding_value,epochs,batch_size,lr,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2,train_mse_final,test_mse_final
linear,2,2,True,200,42,7.853981633974483,25,16,0.01,0.31101404002745286,0.38114817361972797,0.6062726879811802,0.2573325491710193,0.3478875049391649,0.6719911838334025,0.13037295825779438,0.1210257038474083
rationalLog,2,2,True,200,42,7.853981633974483,25,16,0.01,0.31101404002745286,0.38114817361972797,0.6062726879811802,0.4123085544983186,0.5090060308414328,0.2978115012826641,0.15024476498365402,0.25908711552619934
rational,2,2,True,200,42,7.853981633974483,25,16,0.01,0.31101404002745286,0.38114817361972797,0.6062726879811802,0.5097854117243554,0.7506600072318141,-0.5271947172113061,0.5215024203062057,0.5634904503822327
