arch,n_outputs,reps,norm,shots,seed,padding_value,transpile,optimization_level,seed_transpiler,epochs,batch_size,lr,seed_split,seed_train,seed_qnn,fold,wall_time_s,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2,train_mse_final,test_mse_final
linear,2,2,True,200,44,7.853981633974483,False,1,,25,16,0.01,42,44,44,2,66.56894939300037,0.22158588482244695,0.2518965269836853,0.8998451197628929,0.24219451130400163,0.287070311011223,0.8699218606310404,0.16833950206637383,0.08240935951471329
linear,2,2,True,200,46,7.853981633974483,False,1,,25,16,0.01,42,46,46,4,67.61441711799989,0.27830372439282847,0.34040046712462,0.7401240023460138,0.2833216874859581,0.3961882712673367,0.6479623575289638,0.15588725451380014,0.15696515142917633
linear,2,2,True,200,43,7.853981633974483,False,1,,25,16,0.01,42,43,43,1,68.38033054000016,0.3110140400274524,0.38114817361972764,0.6062726879811808,0.28754537245248424,0.3787031828648267,0.6113078531368764,0.16700628213584423,0.14341607689857483
linear,2,2,True,200,45,7.853981633974483,False,1,,25,16,0.01,42,45,45,3,67.5144104330002,0.3662021022395661,0.4143832820326481,0.7544706380545454,0.3074173460032146,0.40730745101780463,0.7627841557435407,0.16432217974215746,0.1658993661403656
linear,2,2,True,200,47,7.853981633974483,False,1,,25,16,0.01,42,47,47,5,75.72251654599995,0.5008660926431252,0.6829684133934942,0.388327072248007,0.49512550026107244,0.7312340223728911,0.2988179303871925,0.15499389916658401,0.5347031950950623
