arch,n_outputs,reps,norm,shots,seed,padding_value,readout,bitstrings,transpile,optimization_level,seed_transpiler,epochs,batch_size,lr,seed_split,seed_train,seed_qnn,fold,wall_time_s,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2,train_mse_final,test_mse_final
linear,2,2,True,200,44,7.853981633974483,bitstring,,False,1,,25,16,0.01,42,44,44,2,67.35897914099996,0.22158588482244695,0.2518965269836853,0.8998451197628929,0.25736750628989696,0.30741742390530385,0.8508288923864981,0.14931879192590714,0.09450548142194748
linear,2,2,True,200,46,7.853981633974483,bitstring,,False,1,,25,16,0.01,42,46,46,4,68.61817321700028,0.27830372439282847,0.34040046712462,0.7401240023460138,0.2819750105076559,0.39527695069013724,0.6495800236402758,0.1566716469824314,0.15624387562274933
linear,2,2,True,200,45,7.853981633974483,bitstring,,False,1,,25,16,0.01,42,45,45,3,68.44690404400035,0.3662021022395661,0.4143832820326481,0.7544706380545454,0.3220385807795042,0.4017767316049947,0.7691825989684171,0.1719549149274826,0.16142453253269196
linear,2,2,True,200,43,7.853981633974483,bitstring,,False,1,,25,16,0.01,42,43,43,1,68.2808202580004,0.3110140400274524,0.38114817361972764,0.6062726879811808,0.3293303478176864,0.4432574395779434,0.4674996191301012,0.22298561967909336,0.19647714495658875
linear,2,2,True,200,47,7.853981633974483,bitstring,,False,1,,25,16,0.01,42,47,47,5,68.56010112900003,0.5008660926431252,0.6829684133934942,0.388327072248007,0.5624814891694279,0.7653235753457313,0.23191690646040763,0.17115924879908562,0.5857201814651489
